	alpha1	alpha2	specular1	eta2	k2	bsdf1	bsdf2
641	0.555441176471	0.425584274424	0.203448275862	0.124715962947	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
642	0.236764705882	0.221959232169	0.0972413793103	0.0865712168753	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
643	0.439558823529	0.364698323157	0.203448275862	0.14468864982	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
644	0.758235294118	0.505527193354	0.02	0.00941220722921	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
645	0.816176470588	0.523613251999	0.135862068966	0.0593726287926	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
646	0.468529411765	0.381168622142	0.22275862069	0.152747276584	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
647	0.207794117647	0.197506550587	0.068275862069	0.0623274728695	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
648	0.236764705882	0.221959258313	0.155172413793	0.138145535367	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
649	0.236764705882	0.221959242829	0.106896551724	0.0951670103784	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
650	0.178823529412	0.172107465585	0.068275862069	0.0637515936871	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
651	0.149852941176	0.145824070372	0.0875862068966	0.0834227236907	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
652	0.903088235294	0.547700197082	0.0875862068966	0.0343304515873	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
653	0.526470588235	0.411558351433	0.0489655172414	0.0311682136477	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
654	0.961029411765	0.562056290463	0.106896551724	0.0390384040939	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
655	0.236764705882	0.221959242008	0.203448275862	0.181124162663	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
656	0.526470588235	0.411558348295	0.164827586207	0.104918324432	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
657	0.207794117647	0.197506543377	0.232413793103	0.212165271521	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
658	0.700294117647	0.485556023615	0.116551724138	0.0591219146663	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
659	0.294705882353	0.267835275746	0.106896551724	0.0899268709665	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
660	0.526470588235	0.411558312942	0.193793103448	0.123355858024	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
661	0.961029411765	0.562056290322	0.174482758621	0.0637207706497	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
662	0.700294117647	0.485555977256	0.22275862069	0.112996249401	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
663	0.468529411765	0.381168622365	0.232413793103	0.159367914474	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
664	0.874117647059	0.540044364767	0.232413793103	0.0944295677304	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
